Rf_TM30,Rg_TM30,Rcsh1_TM30,Rfh1_TM30
89.0,100.0,-5.0,90.0
90.0,100.0,-5.0,90.0
88.0,108.0,9.0,83.0
90.0,100.0,-5.0,90.0
88.0,99.0,-7.0,87.0
89.0,100.0,-5.0,89.0
90.0,100.0,-5.0,90.0
89.0,107.0,4.0,89.0
88.0,99.0,-6.0,88.0
90.0,102.0,-2.0,93.0
88.0,100.0,-6.0,89.0
89.0,100.0,-5.0,90.0
87.0,109.0,10.0,81.0
90.0,101.0,-4.0,91.0
92.0,105.0,2.0,93.0
88.0,108.0,8.0,84.0
88.0,99.0,-6.0,88.0
89.0,107.0,8.0,85.0
89.0,100.0,-5.0,90.0
89.0,99.0,-6.0,88.0
89.0,101.0,-4.0,91.0
89.0,100.0,-5.0,90.0
90.0,107.0,6.0,87.0
89.0,107.0,8.0,84.0
88.0,108.0,9.0,82.0
92.0,105.0,2.0,93.0
89.0,100.0,-5.0,89.0
89.0,101.0,-5.0,90.0
90.0,101.0,-4.0,91.0
92.0,103.0,0.0,95.0
92.0,103.0,0.0,95.0
91.0,101.0,-3.0,92.0
93.0,104.0,2.0,94.0
90.0,100.0,-4.0,91.0
90.0,101.0,-4.0,91.0
87.0,109.0,8.0,84.0
86.0,110.0,9.0,81.0
89.0,99.0,-6.0,89.0
89.0,99.0,-6.0,89.0
89.0,99.0,-6.0,89.0
89.0,99.0,-6.0,89.0
89.0,99.0,-6.0,89.0
89.0,99.0,-6.0,89.0
92.0,103.0,-0.0,95.0
86.0,109.0,11.0,80.0
91.0,101.0,-4.0,92.0
86.0,110.0,9.0,81.0
90.0,107.0,6.0,87.0
93.0,103.0,0.0,95.0
86.0,109.0,11.0,80.0
85.0,110.0,9.0,81.0
86.0,110.0,9.0,81.0
89.0,99.0,-6.0,89.0
89.0,100.0,-6.0,89.0
90.0,100.0,-5.0,90.0
86.0,109.0,11.0,80.0
91.0,101.0,-3.0,92.0
86.0,109.0,10.0,81.0
93.0,103.0,0.0,95.0
93.0,104.0,1.0,94.0
93.0,103.0,0.0,95.0
86.0,109.0,10.0,81.0
89.0,101.0,-5.0,90.0
92.0,102.0,-1.0,95.0
93.0,104.0,1.0,94.0
